iter	Passed	Remaining
0	55	55237
1	55	27712
2	55	18532
3	56	13955
4	56	11196
5	56	9368
6	56	8049
7	56	7060
8	57	6290
9	57	5677
10	57	5176
11	57	4757
12	58	4404
13	58	4100
14	58	3837
15	58	3606
16	58	3401
17	59	3222
18	59	3062
19	59	2918
20	59	2787
21	60	2670
22	60	2565
23	60	2467
24	61	2379
25	61	2297
26	61	2218
27	61	2144
28	61	2075
29	62	2010
30	62	1950
31	62	1893
32	62	1842
33	63	1793
34	63	1746
35	63	1702
36	63	1660
37	64	1622
38	64	1585
39	64	1549
40	64	1515
41	64	1482
42	65	1451
43	65	1421
44	65	1393
45	65	1365
46	66	1339
47	66	1314
48	66	1290
49	66	1267
50	66	1244
51	67	1223
52	67	1202
53	67	1182
54	67	1163
55	67	1145
56	68	1127
57	68	1110
58	68	1094
59	68	1079
60	69	1064
61	69	1049
62	69	1034
63	69	1020
64	69	1006
65	70	993
66	70	980
67	70	968
68	70	956
69	71	944
70	71	933
71	71	923
72	71	912
73	72	902
74	72	891
75	72	881
76	72	871
77	72	861
78	73	853
79	73	846
80	73	837
81	74	829
82	74	819
83	74	812
84	74	804
85	74	796
86	75	789
87	75	782
88	75	775
89	75	767
90	76	760
91	76	753
92	76	746
93	76	739
94	76	733
95	77	727
96	77	720
97	77	714
98	77	708
99	78	702
100	78	697
101	78	691
102	78	686
103	79	681
104	79	676
105	79	671
106	79	666
107	80	661
108	80	656
109	80	651
110	80	647
111	81	642
112	81	638
113	81	633
114	81	630
115	82	625
116	82	621
117	82	617
118	84	624
119	84	621
120	84	617
121	85	613
122	85	609
123	85	607
124	86	603
125	86	600
126	86	596
127	87	593
128	87	590
129	87	586
130	87	583
131	88	579
132	93	610
133	98	634
134	98	630
135	98	626
136	98	623
137	99	619
138	99	615
139	99	612
140	99	609
141	100	604
142	100	601
143	100	597
144	100	594
145	101	592
146	101	590
147	101	586
148	102	583
149	102	581
150	102	578
151	103	579
152	104	576
153	104	573
154	104	570
155	104	567
156	105	564
157	105	561
158	105	558
159	105	555
160	105	552
161	106	549
162	106	546
163	106	544
164	107	541
165	107	538
166	107	536
167	107	533
168	108	531
169	108	528
170	108	526
171	108	523
172	108	520
173	109	518
174	109	515
175	109	513
176	109	510
177	110	508
178	110	506
179	110	504
180	110	501
181	111	499
182	111	497
183	111	495
184	111	493
185	112	491
186	112	488
187	112	486
188	112	484
189	113	482
190	113	479
191	113	477
192	113	475
193	113	473
194	114	471
195	114	469
196	114	467
197	115	465
198	115	463
199	115	461
200	115	460
201	116	458
202	116	456
203	116	454
204	116	452
205	116	450
206	117	449
207	117	447
208	117	445
209	118	443
210	118	442
211	118	440
212	118	438
213	119	437
214	119	435
215	119	433
216	119	432
217	119	430
218	120	428
219	120	426
220	120	425
221	120	423
222	121	422
223	121	420
224	121	419
225	121	417
226	122	416
227	122	414
228	122	412
229	122	411
230	123	409
231	123	407
232	123	406
233	123	404
234	123	403
235	124	401
236	124	400
237	124	398
238	124	397
239	124	395
240	125	394
241	125	392
242	125	391
243	125	389
244	126	388
245	126	387
246	126	385
247	126	384
248	126	382
249	127	381
250	127	379
251	127	378
252	127	376
253	127	375
254	128	374
255	128	372
256	128	371
257	128	370
258	129	369
259	129	367
260	129	366
261	129	365
262	129	364
263	130	362
264	130	361
265	130	360
266	130	359
267	131	358
268	131	357
269	131	355
270	131	354
271	132	353
272	132	352
273	132	350
274	132	349
275	132	348
276	133	347
277	133	346
278	133	345
279	133	344
280	134	343
281	134	342
282	134	340
283	134	339
284	135	338
285	135	337
286	135	336
287	135	335
288	136	334
289	136	333
290	136	332
291	136	331
292	137	330
293	137	329
294	137	328
295	137	327
296	137	326
297	138	325
298	138	324
299	138	323
300	138	322
301	139	321
302	139	320
303	139	319
304	139	318
305	139	317
306	140	316
307	140	315
308	140	314
309	140	313
310	140	312
311	141	311
312	141	310
313	141	309
314	141	308
315	142	307
316	142	306
317	142	305
318	142	304
319	143	303
320	143	303
321	143	302
322	143	301
323	143	300
324	144	299
325	144	298
326	144	297
327	144	296
328	145	295
329	145	295
330	145	294
331	145	293
332	146	292
333	146	291
334	146	290
335	146	290
336	147	289
337	147	288
338	147	287
339	147	287
340	148	286
341	148	285
342	148	284
343	148	284
344	149	283
345	149	282
346	149	281
347	149	280
348	150	280
349	150	279
350	150	278
351	150	277
352	151	276
353	151	275
354	151	275
355	151	274
356	151	273
357	152	272
358	152	272
359	152	271
360	152	270
361	153	269
362	153	269
363	153	268
364	153	267
365	154	266
366	154	266
367	154	265
368	154	264
369	155	264
370	155	263
371	155	262
372	155	261
373	156	261
374	156	260
375	156	259
376	156	259
377	156	258
378	157	257
379	157	256
380	157	256
381	157	255
382	158	254
383	158	254
384	158	253
385	158	252
386	159	252
387	159	251
388	159	250
389	159	249
390	159	249
391	160	248
392	160	247
393	160	247
394	160	246
395	161	245
396	161	244
397	161	244
398	161	243
399	161	242
400	162	242
401	162	241
402	162	240
403	162	240
404	163	239
405	163	238
406	163	238
407	163	237
408	164	237
409	164	236
410	164	235
411	164	234
412	164	234
413	165	233
414	165	232
415	165	232
416	165	231
417	165	231
418	166	230
419	166	229
420	166	229
421	166	228
422	167	227
423	167	227
424	167	226
425	167	226
426	168	225
427	168	225
428	168	224
429	168	223
430	169	223
431	169	222
432	169	222
433	169	221
434	169	220
435	170	220
436	170	219
437	170	218
438	170	218
439	171	217
440	171	217
441	171	216
442	171	216
443	172	215
444	172	214
445	172	214
446	172	213
447	172	213
448	173	212
449	173	211
450	173	211
451	173	210
452	174	210
453	174	209
454	174	209
455	174	208
456	174	207
457	175	207
458	175	206
459	175	206
460	176	205
461	176	205
462	176	204
463	176	204
464	176	203
465	177	202
466	177	202
467	177	201
468	177	201
469	177	200
470	178	200
471	178	199
472	178	199
473	178	198
474	179	198
475	179	197
476	179	197
477	180	196
478	180	196
479	180	195
480	180	195
481	181	194
482	181	194
483	181	193
484	181	193
485	182	192
486	182	192
487	182	191
488	182	191
489	183	190
490	183	190
491	183	189
492	183	188
493	183	188
494	184	187
495	184	187
496	184	186
497	184	186
498	184	185
499	185	185
500	185	184
501	185	184
502	185	183
503	185	183
504	186	182
505	186	181
506	186	181
507	186	180
508	186	180
509	187	179
510	187	179
511	187	178
512	187	178
513	188	177
514	188	177
515	188	176
516	188	176
517	189	175
518	189	175
519	189	174
520	189	174
521	189	173
522	190	173
523	190	172
524	190	172
525	190	171
526	191	171
527	191	170
528	191	170
529	191	169
530	191	169
531	191	168
532	192	168
533	192	167
534	192	167
535	192	166
536	192	166
537	193	165
538	193	165
539	193	164
540	193	164
541	194	164
542	194	163
543	194	163
544	194	162
545	195	162
546	195	161
547	195	161
548	195	160
549	195	160
550	196	159
551	196	159
552	196	158
553	196	158
554	196	157
555	197	157
556	197	156
557	197	156
558	197	156
559	197	155
560	198	155
561	198	154
562	198	154
563	198	153
564	199	153
565	199	152
566	199	152
567	199	151
568	199	151
569	200	150
570	200	150
571	200	150
572	200	149
573	200	149
574	201	148
575	201	148
576	201	147
577	201	147
578	201	146
579	202	146
580	202	145
581	202	145
582	202	145
583	202	144
584	203	144
585	203	143
586	203	143
587	203	142
588	204	142
589	204	141
590	204	141
591	204	141
592	204	140
593	205	140
594	205	139
595	205	139
596	205	138
597	205	138
598	206	137
599	206	137
600	206	137
601	206	136
602	206	136
603	207	135
604	207	135
605	207	134
606	207	134
607	208	134
608	208	133
609	208	133
610	208	132
611	208	132
612	209	132
613	209	131
614	209	131
615	209	130
616	210	130
617	210	129
618	210	129
619	210	129
620	210	128
621	211	128
622	211	127
623	211	127
624	211	127
625	211	126
626	212	126
627	212	125
628	212	125
629	212	124
630	212	124
631	213	124
632	213	123
633	213	123
634	213	122
635	213	122
636	214	121
637	214	121
638	214	121
639	214	120
640	214	120
641	215	119
642	215	119
643	215	119
644	215	118
645	216	118
646	216	117
647	216	117
648	216	117
649	217	116
650	217	116
651	217	116
652	217	115
653	217	115
654	218	114
655	218	114
656	218	114
657	218	113
658	218	113
659	218	112
660	219	112
661	219	112
662	219	111
663	219	111
664	219	110
665	220	110
666	221	110
667	221	109
668	221	109
669	221	109
670	221	108
671	221	108
672	222	107
673	222	107
674	222	107
675	222	106
676	223	106
677	223	106
678	223	105
679	223	105
680	223	104
681	224	104
682	224	104
683	224	103
684	224	103
685	225	103
686	225	102
687	225	102
688	225	101
689	225	101
690	226	101
691	226	100
692	226	100
693	226	99
694	226	99
695	227	99
696	227	98
697	227	98
698	227	98
699	227	97
700	228	97
701	228	96
702	228	96
703	228	96
704	228	95
705	229	95
706	229	95
707	229	94
708	229	94
709	230	93
710	230	93
711	230	93
712	230	92
713	230	92
714	231	92
715	231	91
716	231	91
717	231	91
718	231	90
719	232	90
720	232	89
721	232	89
722	232	89
723	233	88
724	233	88
725	233	88
726	233	87
727	233	87
728	234	86
729	234	86
730	235	86
731	235	86
