iter	Passed	Remaining
0	0	328
1	0	281
2	0	260
3	1	250
4	1	243
5	1	239
6	1	236
7	1	233
8	2	231
9	2	229
10	2	228
11	2	227
12	13	993
13	13	947
14	13	906
15	14	869
16	14	837
17	16	922
18	17	893
19	20	988
20	20	960
21	20	926
22	21	895
23	21	865
24	21	839
25	21	814
26	21	791
27	22	769
28	22	749
29	22	730
30	22	713
31	26	806
32	28	843
33	29	827
34	29	813
35	29	799
36	30	785
37	34	880
38	35	862
39	35	845
40	35	829
41	35	813
42	35	798
43	36	784
44	36	770
45	36	757
46	36	745
47	36	733
48	37	721
49	37	710
50	44	837
51	45	826
52	45	815
53	45	804
54	46	794
55	46	784
56	46	775
57	55	904
58	56	893
59	56	883
60	56	872
61	57	863
62	57	853
63	57	844
64	58	835
65	58	826
66	58	818
67	59	810
68	59	801
69	59	794
70	60	786
71	60	778
72	60	771
73	61	764
74	61	757
75	61	751
76	62	744
77	62	738
78	62	731
79	63	725
80	63	720
81	63	714
82	70	778
83	70	771
84	70	763
85	72	771
86	72	763
87	73	756
88	73	749
89	73	742
90	73	735
91	73	728
92	74	722
93	74	715
94	74	709
95	74	703
96	74	697
97	75	691
98	75	685
99	75	679
100	75	674
101	75	668
102	76	663
103	76	658
104	76	652
105	76	647
106	77	642
107	77	637
108	77	632
109	77	628
110	77	623
111	78	618
112	78	614
113	78	609
114	78	605
115	78	601
116	79	596
117	79	592
118	79	588
119	79	584
120	79	580
121	80	575
122	80	573
123	80	570
124	81	567
125	81	564
126	81	561
127	82	558
128	82	556
129	82	553
130	83	551
131	83	548
132	83	545
133	84	543
134	84	540
135	84	538
136	85	535
137	85	533
138	85	531
139	86	528
140	86	526
141	86	523
142	86	520
143	87	518
144	87	516
145	87	514
146	88	512
147	88	510
148	88	508
149	89	505
150	89	502
151	89	499
152	89	497
153	90	494
154	90	491
155	90	489
156	90	486
157	90	484
158	91	481
159	91	479
160	91	476
161	91	473
162	91	471
163	91	468
164	92	466
165	92	464
166	92	461
167	92	459
168	93	457
169	93	455
170	93	453
171	93	450
172	93	448
173	94	446
174	94	444
175	94	442
176	94	440
177	94	438
178	95	436
179	95	434
180	95	432
181	95	430
182	95	428
183	96	426
184	96	424
185	96	422
186	96	420
187	117	508
188	118	507
189	118	505
190	118	503
191	119	501
192	119	500
193	119	498
194	120	496
195	120	494
196	120	491
197	120	489
198	121	487
199	121	485
200	121	483
201	121	481
202	122	479
203	122	477
204	122	475
205	122	473
206	123	471
207	123	469
208	123	467
209	123	465
210	123	463
211	124	461
212	124	459
213	124	457
214	124	455
215	124	453
216	125	451
217	125	449
218	125	447
219	125	445
220	125	443
221	132	465
222	133	463
223	133	461
224	133	459
225	133	457
226	133	456
227	134	454
228	134	452
229	134	450
230	134	448
231	134	446
232	135	444
233	135	443
234	135	441
235	136	442
236	137	441
237	137	440
238	137	438
239	138	437
240	138	436
241	138	434
242	138	432
243	139	431
244	139	429
245	139	427
246	139	426
247	140	424
248	140	422
249	140	421
250	140	419
251	140	418
252	141	416
253	141	414
254	141	413
255	141	411
256	141	410
257	142	408
258	142	407
259	142	406
260	143	405
261	143	404
262	143	403
263	144	402
264	144	401
265	144	399
266	145	398
267	145	397
268	150	410
269	151	408
270	151	407
271	151	405
272	151	404
273	151	402
274	152	401
275	152	399
276	152	398
277	152	396
278	153	395
279	153	394
280	153	392
281	153	391
282	153	389
283	154	388
284	154	387
285	154	385
286	154	384
287	154	383
288	155	381
289	155	380
290	155	379
291	155	377
292	156	376
293	156	375
294	156	373
295	156	372
296	156	371
297	157	370
298	157	368
299	157	367
300	157	366
301	157	365
302	158	363
303	158	362
304	158	361
305	158	360
306	158	358
307	176	396
308	177	395
309	177	394
310	177	393
311	178	392
312	180	397
313	181	396
314	181	394
315	182	393
316	182	392
317	182	391
318	183	390
319	183	389
320	183	388
321	184	387
322	184	386
323	184	385
324	185	384
325	185	383
326	185	382
327	186	381
328	186	380
329	186	379
330	187	378
331	187	377
332	187	376
333	188	375
334	188	374
335	188	373
336	189	372
337	189	371
338	189	370
339	190	368
340	190	367
341	190	366
342	190	365
343	191	364
344	191	363
345	191	362
346	191	361
347	192	360
348	192	358
349	192	357
350	193	356
351	193	355
352	193	355
353	194	354
354	194	353
355	194	352
356	195	351
357	195	350
358	195	349
359	196	348
360	196	347
361	196	346
362	197	345
363	197	345
364	197	344
365	198	343
366	198	342
367	198	341
368	198	340
369	199	339
370	199	338
371	199	337
372	199	336
373	200	334
374	200	333
375	200	332
376	200	331
377	201	331
378	201	330
379	201	329
380	202	328
381	202	327
382	202	326
